city,data scientist,data engineer,data analyst,statistician,data & analytics manager
ann arbor,98300.00 ,86500.00 ,57000.00 ,84000.00 ,99000.00 
atlanta,96000.00 ,82000.00 ,61500.00 ,84500.00 ,100000.00 
austin,98500.00 ,96000.00 ,60000.00 ,71500.00 ,92100.00 
boston,106000.00 ,90000.00 ,64000.00 ,70000.00 ,104000.00 
charlotte,92500.00 ,60300.00 ,62400.00 ,74700.00 ,120000.00 
chicago,95000.00 ,81000.00 ,60000.00 ,86000.00 ,104000.00 
cincinnati,91300.00 ,79800.00 ,50000.00 ,73600.00 ,97500.00 
columbia,84400.00 ,75600.00 ,44500.00 ,63200.00 ,91200.00 
dallas,95000.00 ,85700.00 ,64500.00 ,72000.00 ,105000.00 
denver,100000.00 ,87800.00 ,63000.00 ,84500.00 ,100000.00 
houston,105000.00 ,84500.00 ,60000.00 ,75300.00 ,110000.00 
jacksonville,105000.00 ,97400.00 ,55000.00 ,72300.00 ,109000.00 
los angeles,115000.00 ,107000.00 ,65000.00 ,81000.00 ,107000.00 
louisville,98200.00 ,79800.00 ,53000.00 ,71800.00 ,96800.00 
miami,93200.00 ,97400.00 ,54800.00 ,76200.00 ,93900.00 
minneapolis,91500.00 ,84800.00 ,65000.00 ,84000.00 ,117000.00 
nashville,100000.00 ,88000.00 ,55500.00 ,84000.00 ,107000.00 
new york,110000.00 ,105000.00 ,65000.00 ,90000.00 ,108000.00 
newport news,105000.00 ,97400.00 ,60000.00 ,84000.00 ,107000.00 
phoenix,95000.00 ,87000.00 ,58100.00 ,75800.00 ,102000.00 
san diego,115000.00 ,97400.00 ,60000.00 ,85900.00 ,122000.00 
san francisco,130000.00 ,120000.00 ,80000.00 ,92500.00 ,130000.00 
seattle,120000.00 ,113000.00 ,67500.00 ,94900.00 ,115000.00 
virginia beach,105000.00 ,97400.00 ,60000.00 ,84000.00 ,107700.00 
